40.2,1.9,295,3.13,59.3,2.15,42.9,2.09,1770,5.85,9100,12.37,164,2.7,37.3,2.06,647,3.94,113,2.6
36.5,1.87,256,3.01,47.7,2.05,34.2,2,1400,5.3,7500,11.54,160,2.68,39.2,2.08,630,3.91,94.5,2.5
32.3,1.83,225,2.91,42.5,2,28.2,1.92,1620,5.61,2560,7.04,161,2.68,47.3,2.16,592,3.85,83.9,2.43
30.9,1.81,208,2.86,38,1.95,23.6,1.85,1550,5.54,1800,6.01,167,2.71,41.8,2.1,559,3.79,77.3,2.39
29.6,1.8,194,2.81,34.6,1.91,20.9,1.81,10900,10.78,1530,5.57,178,2.75,42.8,2.11,529,3.73,74.5,2.37
28.4,1.8,183,2.77,33.8,1.9,19.7,1.79,39200,28.19,1400,5.35,176,2.74,51.1,2.2,492,3.66,78.4,2.39
26,1.77,174,2.73,1250,4.66,21,1.81,10700,13.33,1280,5.13,172,2.73,49.8,2.18,464,3.6,655,3.88
23.9,1.74,160,2.68,451,3.48,425,3.06,5760,9.81,1200,4.99,163,2.69,44.3,2.13,440,3.55,372,3.37
22,1.72,145,2.61,296,3.11,955,4.35,3370,7.73,1230,5.04,155,2.66,37.2,2.05,426,3.52,234,3.03
20.5,1.7,141,2.6,258,3.04,783,4.18,2510,6.82,1230,5.03,156,2.66,32.8,2,413,3.49,195,2.92
19.7,1.7,134,2.57,181,2.79,452,3.53,4580,8.8,10000,11.16,165,2.7,27.2,1.93,401,3.46,756,4.02
18.2,1.67,126,2.53,156,2.69,322,3.21,4260,8.57,11400,13.51,262,3.02,23,1.86,418,3.5,856,4.31
16.8,1.66,125,2.52,133,2.6,231,2.93,3600,7.94,6780,10.6,294,3.13,21.3,1.84,452,3.57,449,3.53
15.1,1.63,124,2.52,116,2.52,171,2.72,2400,6.69,3720,8.08,328,3.23,19.6,1.81,447,3.56,313,3.23
